q_e85,year,month,time,q_g,p_g_real,p_e_real,PFOOD,PMAIZMT,POILBRE,POILWTI,PSUGAEEC,hours_tot,fleet_ffv,sek_usd_last,fleet_g_ffv
218,2005,1,1,358614,11.45,8.88,94.88279959,95.98462746,44.28,46.82,31.23203398,124.2,9544,6.8225,3903574
570,2005,2,2,356365,11.59,8.88,97.56701108,94.35939361,45.56,47.96,31.3878408,124.2,10525,6.8225,3905476
337,2005,3,3,426402,11.89,8.88,102.5957598,99.94371067,53.08,54.17,31.68787512,124.2,11505,7.06,3907376
739,2005,4,4,415231,12.35,8.88,100.1604011,96.391198,51.86,52.96,31.50525217,124.2,12486,7.075,3909278
1521,2005,5,5,437944,12.16,8.88,100.6881316,95.26864149,48.67,49.81,30.88723508,117.1,13467,7.3975,3911179
1519,2005,6,6,463295,12.65,8.88,101.2448954,97.56159286,54.31,56.39,30.24401286,113.9,14447,7.8175,3913080
1444,2005,7,7,464039,13.32,8.88,102.2501216,105.5953928,57.58,58.67,29.10880282,69,15428,7.7425,3914981
2506,2005,8,8,478639,13.52,8.88,100.6333326,98.63826326,64.09,64.96,29.82006775,95.900002,16409,7.6625,3916883
2676,2005,9,9,424390,13.84,8.88,100.116455,96.99343795,62.98,65.54,30.07062543,124.9,17389,7.78,3918783
3442,2005,10,10,411722,13.42,8.88,100.3166004,101.4996925,58.52,62.36,29.3273457,125,18370,7.9,3920685
1927,2005,11,11,401473,12.78,8.88,98.39414192,95.96986438,55.53,58.28,28.85525061,125,19351,8.0825,3922586
2977,2005,12,12,395180,12.57,8.88,101.1503501,102.6619921,56.75,59.41,29.02281814,111.1,20331,7.9525,3924487
2815,2006,1,13,362033,12.79,8.76,101.7300471,102.696908,63.57,65.48,29.37057918,112.3,21312,7.6325,3926388
2135,2006,2,14,344727,12.53,8.76,104.8875314,106.920962,59.92,61.62,29.06878017,121.6,23415,7.9825,3926368
2659,2006,3,15,406162,12.95,8.76,105.8826839,104.8939228,62.25,62.89,28.99021886,122.2,25517,7.745,3926347
